,listing_id,date,rent,bedrooms,bathrooms,sqft,rent_sqft,fips_block,state,region,mpo_id,lng,lat,cars_tot,children_tot,persons_tot,workers_tot,age_of_head_med,income_med,hhs_tot,race_of_head_1,race_of_head_2,race_of_head_3,race_of_head_4,race_of_head_5,race_of_head_6,race_of_head_7,race_of_head_8,race_of_head_9,recent_mover_0,recent_mover_1,tenure_1,tenure_2
26939,5981215357,2017-01-29,2516.0,2.0,2.0,910.0,2.7648351648351603,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
27002,5956490626,2017-01-12,3810.0,3.0,2.0,1312.0,2.9039634146341498,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
27039,5937316403,2017-01-12,4900.0,4.0,3.0,2585.0,1.89555125725338,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
27048,5956479732,2017-01-12,2800.0,2.0,2.0,1000.0,2.8,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
27051,5956478413,2017-01-12,3185.0,2.0,2.0,1072.0,2.9710820895522403,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
27089,5949482818,2017-01-12,1350.0,2.0,1.0,850.0,1.5882352941176499,60952516002043,CA,sfbay,6197001.0,-122.258091,38.106246999999996,1126.0,432.0,1869.0,887.0,46.0,28800.0,825.0,427.0,237.0,6.0,1.0,2.0,91.0,7.0,20.0,34.0,382.0,443.0,26.0,799.0
27151,5956447715,2017-01-12,2643.0,3.0,2.0,994.0,2.658953722334,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
27165,5956445666,2017-01-12,2243.0,2.0,1.0,785.0,2.85732484076433,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
27166,5956444920,2017-01-12,1746.0,1.0,1.0,625.0,2.7936,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
27446,5943147577,2017-01-02,2900.0,2.0,2.0,1044.0,2.77777777777778,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
27458,5943209923,2017-01-03,1350.0,2.0,1.0,850.0,1.5882352941176499,60952516002044,CA,sfbay,6197001.0,-122.258182,38.106144,1126.0,432.0,1869.0,887.0,46.0,28800.0,825.0,427.0,237.0,6.0,1.0,2.0,91.0,7.0,20.0,34.0,382.0,443.0,26.0,799.0
27529,5956778568,2017-01-12,3265.0,2.0,2.0,1077.0,3.03156917363046,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
27571,5956766642,2017-01-12,2900.0,2.0,2.0,1051.0,2.7592768791627003,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
27593,5956762631,2017-01-12,3195.0,3.0,1.0,1107.0,2.88617886178862,60855055002006,CA,sfbay,6197001.0,-121.96456200000002,37.346041,1323.0,438.0,1784.0,847.0,49.0,50510.0,718.0,450.0,37.0,5.0,1.0,2.0,151.0,2.0,48.0,22.0,550.0,168.0,329.0,389.0
27626,5956740115,2017-01-12,3265.0,2.0,2.0,1077.0,3.03156917363046,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
27778,5944024697,2017-01-03,2779.0,2.0,2.0,1066.0,2.6069418386491603,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
27798,5944006431,2017-01-03,2675.0,2.0,1.5,1050.0,2.5476190476190497,60014418001005,CA,sfbay,6197001.0,-121.995997,37.558468,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
27818,5943996927,2017-01-03,2850.0,3.0,2.0,1410.0,2.0212765957446797,60014424004003,CA,sfbay,6197001.0,-121.980745,37.529893,1245.0,434.0,1723.0,682.0,51.0,102000.0,514.0,240.0,25.0,8.0,2.0,3.0,162.0,9.0,35.0,30.0,458.0,56.0,371.0,143.0
27822,5935070729,2017-01-03,2450.0,2.0,1.0,1000.0,2.45,60014413021006,CA,sfbay,6197001.0,-122.02117199999999,37.572235,1366.0,403.0,1808.0,740.0,54.0,70950.0,598.0,254.0,2.0,8.0,2.0,2.0,255.0,7.0,38.0,30.0,533.0,65.0,468.0,130.0
