,listing_id,date,rent,bedrooms,bathrooms,sqft,rent_sqft,fips_block,state,region,mpo_id,lng,lat,cars_tot,children_tot,persons_tot,workers_tot,age_of_head_med,income_med,hhs_tot,race_of_head_1,race_of_head_2,race_of_head_3,race_of_head_4,race_of_head_5,race_of_head_6,race_of_head_7,race_of_head_8,race_of_head_9,recent_mover_0,recent_mover_1,tenure_1,tenure_2
49345,6002933655,2017-02-14,3200.0,3.0,2.5,1717.0,1.86371578334304,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
49425,6003473028,2017-02-14,3955.0,3.0,2.0,1332.0,2.9692192192192204,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
49465,6003495537,2017-02-14,2500.0,2.0,1.5,1050.0,2.38095238095238,60014417002000,CA,sfbay,6197001.0,-122.00623600000002,37.553863,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
49548,6003464715,2017-02-14,3915.0,2.0,2.0,1365.0,2.86813186813187,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
49708,6003572639,2017-02-14,1995.0,1.0,1.0,730.0,2.7328767123287703,60014423012005,CA,sfbay,6197001.0,-121.96077,37.530936,903.0,374.0,1340.0,535.0,49.0,70000.0,424.0,157.0,16.0,10.0,1.0,1.0,169.0,7.0,36.0,27.0,359.0,65.0,143.0,281.0
49725,6003568492,2017-02-14,2750.0,2.0,2.5,1240.0,2.21774193548387,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
49850,6003543754,2017-02-14,2565.0,1.0,1.0,740.0,3.4662162162162202,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
49898,5996496173,2017-02-14,2079.0,1.0,1.0,618.0,3.36407766990291,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
50060,6003640809,2017-02-14,2740.0,2.0,2.0,975.0,2.81025641025641,60014426021005,CA,sfbay,6197001.0,-121.999851,37.554409,1823.0,994.0,3066.0,1009.0,42.0,48500.0,979.0,441.0,35.0,21.0,1.0,1.0,301.0,16.0,109.0,54.0,744.0,235.0,261.0,718.0
50075,6003634856,2017-02-14,1775.0,1.0,1.0,541.0,3.2809611829944503,60014418001005,CA,sfbay,6197001.0,-121.995997,37.558468,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
50078,6003632176,2017-02-14,2904.0,3.0,2.0,1063.0,2.73189087488241,60014426021005,CA,sfbay,6197001.0,-121.999851,37.554409,1823.0,994.0,3066.0,1009.0,42.0,48500.0,979.0,441.0,35.0,21.0,1.0,1.0,301.0,16.0,109.0,54.0,744.0,235.0,261.0,718.0
50098,6003625244,2017-02-14,3190.0,2.0,2.0,1072.0,2.97574626865672,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
50117,6003621558,2017-02-14,2039.0,1.0,1.0,730.0,2.7931506849315095,60014426021005,CA,sfbay,6197001.0,-121.999851,37.554409,1823.0,994.0,3066.0,1009.0,42.0,48500.0,979.0,441.0,35.0,21.0,1.0,1.0,301.0,16.0,109.0,54.0,744.0,235.0,261.0,718.0
50190,6003909841,2017-02-14,2442.0,1.0,1.0,735.0,3.3224489795918397,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
50205,5973574143,2017-02-14,2050.0,1.0,1.0,650.0,3.15384615384615,60014413021006,CA,sfbay,6197001.0,-122.02117199999999,37.572235,1366.0,403.0,1808.0,740.0,54.0,70950.0,598.0,254.0,2.0,8.0,2.0,2.0,255.0,7.0,38.0,30.0,533.0,65.0,468.0,130.0
50313,6003877982,2017-02-14,1950.0,1.0,1.0,527.0,3.7001897533206805,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
50383,6004031843,2017-02-14,2560.0,1.0,1.0,774.0,3.3074935400516803,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
50384,6004014383,2017-02-14,4900.0,5.0,3.0,3100.0,1.58064516129032,60133451121009,CA,sfbay,6197001.0,-121.93493799999999,37.764948,2364.0,1142.0,3338.0,1530.0,47.0,136650.0,1138.0,755.0,26.0,1.0,1.0,1.0,303.0,3.0,18.0,30.0,847.0,291.0,736.0,402.0
50400,6004027000,2017-02-14,2619.0,2.0,2.0,1066.0,2.45684803001876,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
50417,6004023941,2017-02-14,2750.0,2.0,1.5,1050.0,2.61904761904762,60014418001005,CA,sfbay,6197001.0,-121.995997,37.558468,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
50469,6003999938,2017-02-14,4900.0,5.0,3.0,3100.0,1.58064516129032,60133451121009,CA,sfbay,6197001.0,-121.935217,37.765015000000005,2364.0,1142.0,3338.0,1530.0,47.0,136650.0,1138.0,755.0,26.0,1.0,1.0,1.0,303.0,3.0,18.0,30.0,847.0,291.0,736.0,402.0
50504,6004006411,2017-02-14,3955.0,3.0,2.0,1332.0,2.9692192192192204,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
50505,6004006059,2017-02-14,2800.0,2.0,2.0,1000.0,2.8,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
50521,6004003003,2017-02-14,2545.0,2.0,2.0,910.0,2.7967032967033,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
50603,6003994618,2017-02-14,2305.0,1.0,1.0,595.0,3.8739495798319306,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
50758,6003943061,2017-02-14,2715.0,1.0,1.0,740.0,3.66891891891892,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
50787,6004090614,2017-02-14,2434.0,2.0,1.0,902.0,2.6984478935698397,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
50860,6004052913,2017-02-14,3345.0,2.0,2.0,1046.0,3.1978967495219903,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
50869,6004042447,2017-02-14,2710.0,1.0,1.5,973.0,2.7852004110996904,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
50942,5997847685,2017-02-14,2550.0,2.0,2.0,986.0,2.58620689655172,60014414022011,CA,sfbay,6197001.0,-122.043751,37.578527,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
51008,6004494320,2017-02-15,1975.0,1.0,1.0,811.0,2.4352651048088796,60014414022011,CA,sfbay,6197001.0,-122.044373,37.577117,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
51029,6001662491,2017-02-15,5000.0,3.0,2.5,1300.0,3.84615384615385,60855050012016,CA,sfbay,6197001.0,-121.95849,37.403099,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
51030,6001661796,2017-02-15,4500.0,3.0,2.5,1300.0,3.4615384615384603,60855050012016,CA,sfbay,6197001.0,-121.95849,37.403099,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
51103,6004598640,2017-02-15,1500.0,3.0,1.0,1136.0,1.32042253521127,60952523162001,CA,sfbay,6197001.0,-122.019935,38.276540999999995,1377.0,326.0,1647.0,893.0,52.0,74500.0,577.0,336.0,46.0,4.0,1.0,3.0,27.0,14.0,86.0,60.0,522.0,55.0,339.0,238.0
51151,6004668488,2017-02-15,2360.0,0.0,1.0,665.0,3.54887218045113,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
51178,6005070765,2017-02-15,2600.0,5.0,3.0,3000.0,0.866666666666667,60952517012023,CA,sfbay,6197001.0,-122.265405,38.117133,1088.0,162.0,1343.0,650.0,55.0,35000.0,733.0,477.0,122.0,12.0,1.0,4.0,22.0,13.0,37.0,45.0,460.0,273.0,264.0,469.0
51285,6005032453,2017-02-15,2593.0,3.0,2.0,994.0,2.6086519114688103,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
51288,6005030762,2017-02-15,2193.0,2.0,1.0,785.0,2.7936305732484104,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
51293,6005028916,2017-02-15,1846.0,1.0,1.0,625.0,2.9536,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
51470,6005150218,2017-02-15,2555.0,1.0,1.0,758.0,3.37071240105541,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
51591,6005102300,2017-02-15,1995.0,1.0,1.0,730.0,2.7328767123287703,60014423012005,CA,sfbay,6197001.0,-121.96077,37.530936,903.0,374.0,1340.0,535.0,49.0,70000.0,424.0,157.0,16.0,10.0,1.0,1.0,169.0,7.0,36.0,27.0,359.0,65.0,143.0,281.0
51700,6005400918,2017-02-15,2889.0,2.0,2.0,1039.0,2.78055822906641,60014419251021,CA,sfbay,6197001.0,-121.975581,37.553177000000005,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
51725,5972423864,2017-02-15,3200.0,3.0,2.5,1717.0,1.86371578334304,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
51774,6005358546,2017-02-15,3955.0,3.0,2.0,1332.0,2.9692192192192204,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
51902,5997271134,2017-02-15,1850.0,2.0,1.0,810.0,2.28395061728395,60133660023012,CA,sfbay,6197001.0,-122.34990800000001,37.972604,1465.0,651.0,2537.0,1042.0,51.0,44000.0,725.0,359.0,120.0,2.0,1.0,1.0,140.0,1.0,79.0,22.0,586.0,139.0,390.0,335.0
51963,6005663599,2017-02-15,2800.0,2.0,2.5,1500.0,1.8666666666666698,60014412001007,CA,sfbay,6197001.0,-121.976395,37.5771,2302.0,847.0,3052.0,1385.0,45.0,60000.0,1082.0,588.0,71.0,19.0,2.0,4.0,154.0,11.0,152.0,81.0,692.0,390.0,351.0,731.0
51993,6005691509,2017-02-15,3100.0,2.0,2.0,1000.0,3.1,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
52008,6006402400,2017-02-16,3630.0,3.0,2.0,1440.0,2.5208333333333304,60855050093009,CA,sfbay,6197001.0,-121.95384299999999,37.414721,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52104,6006378546,2017-02-16,2568.0,3.0,2.0,994.0,2.58350100603622,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
52106,6006377831,2017-02-16,2143.0,2.0,1.0,785.0,2.7299363057324797,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
52108,6006377067,2017-02-16,1796.0,1.0,1.0,625.0,2.8736,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
52115,5997085287,2017-02-16,2450.0,2.0,2.0,1100.0,2.2272727272727297,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
52145,6006368584,2017-02-16,2650.0,3.0,2.0,1211.0,2.18827415359207,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
52154,6006366003,2017-02-16,3095.0,3.0,2.5,2004.0,1.54441117764471,60014426012000,CA,sfbay,6197001.0,-122.001701,37.544618,1833.0,525.0,2215.0,902.0,55.5,79600.0,866.0,572.0,52.0,16.0,2.0,3.0,156.0,9.0,25.0,31.0,786.0,80.0,552.0,314.0
52185,6006354834,2017-02-16,3501.0,2.0,2.0,1428.0,2.45168067226891,60855050093009,CA,sfbay,6197001.0,-121.953778,37.414721,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52198,6006350103,2017-02-16,3069.0,2.0,2.5,3069.0,1.0,60855050093009,CA,sfbay,6197001.0,-121.95384299999999,37.414772,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52205,6006347344,2017-02-16,2646.0,1.0,1.0,1001.0,2.6433566433566402,60855050093000,CA,sfbay,6197001.0,-121.95555900000001,37.414823,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52216,6006344992,2017-02-16,2913.0,2.0,1.5,918.0,3.17320261437908,60855050093000,CA,sfbay,6197001.0,-121.953907,37.414772,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52315,6006587251,2017-02-16,3955.0,3.0,2.0,1332.0,2.9692192192192204,60855050093003,CA,sfbay,6197001.0,-121.95721100000002,37.411874,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52348,6006552293,2017-02-16,2932.0,2.0,2.0,1040.0,2.81923076923077,60855050093000,CA,sfbay,6197001.0,-121.95833300000001,37.411173,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52393,6006533057,2017-02-16,2495.0,1.0,1.0,740.0,3.37162162162162,60855050093003,CA,sfbay,6197001.0,-121.95708300000001,37.411772,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
52401,6006530857,2017-02-16,1450.0,2.0,1.0,1000.0,1.45,60952516002030,CA,sfbay,6197001.0,-122.25813600000001,38.108094,1126.0,432.0,1869.0,887.0,46.0,28800.0,825.0,427.0,237.0,6.0,1.0,2.0,91.0,7.0,20.0,34.0,382.0,443.0,26.0,799.0
52420,5976478245,2017-02-16,2395.0,2.0,1.0,1000.0,2.395,60014413021006,CA,sfbay,6197001.0,-122.02117199999999,37.572235,1366.0,403.0,1808.0,740.0,54.0,70950.0,598.0,254.0,2.0,8.0,2.0,2.0,255.0,7.0,38.0,30.0,533.0,65.0,468.0,130.0
52423,5976472740,2017-02-16,2050.0,1.0,1.0,650.0,3.15384615384615,60014413021006,CA,sfbay,6197001.0,-122.02117199999999,37.572235,1366.0,403.0,1808.0,740.0,54.0,70950.0,598.0,254.0,2.0,8.0,2.0,2.0,255.0,7.0,38.0,30.0,533.0,65.0,468.0,130.0
52531,6006620577,2017-02-16,2650.0,1.0,1.0,805.0,3.29192546583851,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
52551,6006610074,2017-02-16,2705.0,1.0,1.0,835.0,3.23952095808383,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
52587,6006810360,2017-02-16,2500.0,4.0,3.0,2644.0,0.94553706505295,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
52609,6006807555,2017-02-16,2525.0,1.0,1.0,796.0,3.1721105527638196,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
52623,6006812332,2017-02-16,2175.0,1.0,1.0,668.0,3.2559880239521,60014418001005,CA,sfbay,6197001.0,-121.995997,37.558468,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
52666,6006802048,2017-02-16,2678.0,1.0,1.0,786.0,3.40712468193384,60014419251021,CA,sfbay,6197001.0,-121.975581,37.553177000000005,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
52727,6006782494,2017-02-16,2319.0,2.0,1.0,844.0,2.7476303317535495,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
52733,6006781332,2017-02-16,2619.0,2.0,2.0,1066.0,2.45684803001876,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
52849,6006890197,2017-02-16,2705.0,1.0,1.0,749.0,3.6114819759679597,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
52865,6006886371,2017-02-16,2435.0,1.0,1.0,697.0,3.493543758967,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
52905,5987147663,2017-02-16,2450.0,2.0,2.0,1100.0,2.2272727272727297,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
52913,6006857501,2017-02-16,2650.0,3.0,2.0,1211.0,2.18827415359207,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
53036,6006884068,2017-02-16,1995.0,1.0,1.0,730.0,2.7328767123287703,60014423012005,CA,sfbay,6197001.0,-121.96077,37.530936,903.0,374.0,1340.0,535.0,49.0,70000.0,424.0,157.0,16.0,10.0,1.0,1.0,169.0,7.0,36.0,27.0,359.0,65.0,143.0,281.0
53101,6006328472,2017-02-16,4000.0,4.0,3.0,2300.0,1.7391304347826102,60014352001022,CA,sfbay,6197001.0,-122.057273,37.68923,1975.0,335.0,2170.0,1142.0,56.0,89000.0,806.0,384.0,227.0,5.0,1.0,2.0,91.0,10.0,44.0,42.0,672.0,134.0,596.0,210.0
53104,6007037016,2017-02-16,1400.0,1.0,1.0,1100.0,1.27272727272727,60014418001007,CA,sfbay,6197001.0,-122.00097199999999,37.554936,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
53165,5998039234,2017-02-17,2100.0,1.0,1.0,690.0,3.04347826086957,60014419251001,CA,sfbay,6197001.0,-121.97104099999999,37.558884,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
53231,6007474950,2017-02-17,1650.0,1.0,1.0,580.0,2.8448275862069,60014423012005,CA,sfbay,6197001.0,-121.96137,37.530035999999996,903.0,374.0,1340.0,535.0,49.0,70000.0,424.0,157.0,16.0,10.0,1.0,1.0,169.0,7.0,36.0,27.0,359.0,65.0,143.0,281.0
53280,6007535180,2017-02-17,1975.0,1.0,1.0,811.0,2.4352651048088796,60014414022011,CA,sfbay,6197001.0,-122.04433,37.577151,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
53352,6007931598,2017-02-17,1250.0,1.0,1.0,975.0,1.28205128205128,60952517012028,CA,sfbay,6197001.0,-122.26656399999999,38.114757,1088.0,162.0,1343.0,650.0,55.0,35000.0,733.0,477.0,122.0,12.0,1.0,4.0,22.0,13.0,37.0,45.0,460.0,273.0,264.0,469.0
53356,6007930994,2017-02-17,1350.0,2.0,1.0,1025.0,1.3170731707317098,60952517012028,CA,sfbay,6197001.0,-122.266595,38.114796999999996,1088.0,162.0,1343.0,650.0,55.0,35000.0,733.0,477.0,122.0,12.0,1.0,4.0,22.0,13.0,37.0,45.0,460.0,273.0,264.0,469.0
53369,6007926571,2017-02-17,1350.0,2.0,1.0,1025.0,1.3170731707317098,60952517012028,CA,sfbay,6197001.0,-122.266595,38.114796999999996,1088.0,162.0,1343.0,650.0,55.0,35000.0,733.0,477.0,122.0,12.0,1.0,4.0,22.0,13.0,37.0,45.0,460.0,273.0,264.0,469.0
53374,6007968539,2017-02-17,2295.0,2.0,1.5,800.0,2.86875,60855057003007,CA,sfbay,6197001.0,-121.940174,37.342356,1280.0,447.0,1888.0,854.0,43.0,73800.0,647.0,403.0,88.0,4.0,2.0,7.0,55.0,6.0,42.0,40.0,363.0,284.0,239.0,408.0
53391,6007963110,2017-02-17,1850.0,1.0,1.0,640.0,2.890625,60014418001004,CA,sfbay,6197001.0,-121.996872,37.560735,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
